Date,Close/Last,Volume,Open,High,Low
05/06/2015,4919.64,--,4956.70,4965.10,4888.17
05/05/2015,4939.33,--,5000.20,5008.27,4934.34
05/04/2015,5016.93,--,5018.35,5043.62,5013.02
05/01/2015,5005.39,--,4966.32,5005.39,4962.74
04/30/2015,4941.42,--,4996.99,5015.96,4921.55
04/29/2015,5023.64,--,5028.45,5053.84,4999.83
04/28/2015,5055.42,--,5063.26,5075.30,5006.28
04/27/2015,5060.25,--,5104.36,5119.83,5053.54
04/24/2015,5092.08,--,5096.34,5100.37,5081.21
04/23/2015,5056.06,--,5020.22,5073.09,5019.29
04/22/2015,5035.17,--,5026.57,5040.65,4992.62
04/21/2015,5014.10,--,5023.96,5028.22,5009.51
04/20/2015,4994.60,--,4958.07,5000.20,4952.68
04/17/2015,4931.81,--,4966.11,4974.09,4912.33
04/16/2015,5007.79,--,4999.36,5016.00,4996.00
04/15/2015,5011.02,--,4992.62,5021.19,4989.24
04/14/2015,4977.29,--,4988.82,4996.82,4952.01
04/13/2015,4988.25,--,5001.55,5024.25,4985.96
04/10/2015,4995.98,--,4977.03,4996.08,4970.02
04/09/2015,4974.56,--,4950.84,4975.93,4928.11
04/08/2015,4950.82,--,4914.15,4956.72,4914.15
04/07/2015,4910.23,--,4917.50,4948.88,4909.77
04/06/2015,4917.32,--,4855.94,4929.62,4852.91
04/03/2015,4886.94,--,0.00,0.00,0.00
04/02/2015,4886.94,--,4885.41,4901.33,4872.96
04/01/2015,4880.23,--,4894.36,4899.38,4844.39
03/31/2015,4900.88,--,4925.91,4940.87,4899.31
03/30/2015,4947.44,--,4921.78,4948.46,4921.12
03/27/2015,4891.22,--,4863.74,4899.26,4859.66
03/26/2015,4863.36,--,4835.71,4889.21,4825.93
03/25/2015,4876.52,--,5002.83,5006.76,4876.52
03/24/2015,4994.73,--,5010.10,5032.48,4994.56
03/23/2015,5010.97,--,5020.60,5031.39,5010.97
03/20/2015,5026.42,--,5033.47,5042.14,5020.07
03/19/2015,4992.38,--,4982.02,5000.02,4979.94
03/18/2015,4982.83,--,4926.83,5001.57,4907.72
03/17/2015,4937.43,--,4912.65,4944.91,4907.02
03/16/2015,4929.51,--,4897.27,4929.94,4889.09
03/13/2015,4871.76,--,4885.54,4904.47,4842.80
03/12/2015,4893.29,--,4853.98,4895.80,4853.20
03/11/2015,4849.94,--,4866.94,4876.09,4846.79
03/10/2015,4859.79,--,4899.51,4903.44,4859.79
03/09/2015,4942.44,--,4936.08,4950.47,4920.82
03/06/2015,4927.37,--,4967.24,4982.93,4918.63
03/05/2015,4982.81,--,4979.95,4993.52,4963.10
03/04/2015,4967.14,--,4961.24,4973.32,4938.90
03/03/2015,4979.90,--,4990.70,4996.66,4956.07
03/02/2015,5008.10,--,4973.43,5008.57,4972.01
02/27/2015,4963.53,--,4985.03,4989.25,4960.87
02/26/2015,4987.89,--,4969.27,4989.11,4955.51
02/25/2015,4967.14,--,4960.36,4984.24,4956.00
02/24/2015,4968.12,--,4956.21,4971.18,4945.14
02/23/2015,4960.97,--,4953.10,4960.97,4939.56
02/20/2015,4955.97,--,4919.78,4957.02,4905.59
02/19/2015,4924.70,--,4901.51,4929.53,4900.63
02/18/2015,4906.36,--,4890.84,4907.50,4885.60
02/17/2015,4899.27,--,4889.99,4901.89,4880.64
02/16/2015,4893.84,--,0.00,0.00,0.00
02/13/2015,4893.84,--,4869.73,4893.84,4860.12
02/12/2015,4857.61,--,4828.08,4857.61,4823.57
02/11/2015,4801.18,--,4788.37,4810.36,4780.13
02/10/2015,4787.64,--,4754.63,4793.27,4737.12
02/09/2015,4726.01,--,4723.73,4749.47,4719.61
02/06/2015,4744.40,--,4768.84,4787.18,4731.22
02/05/2015,4765.10,--,4729.65,4767.38,4722.80
02/04/2015,4716.70,--,4699.81,4744.33,4697.79
02/03/2015,4727.74,--,4693.25,4727.74,4670.82
02/02/2015,4676.69,--,4650.60,4676.69,4580.46
01/30/2015,4635.24,--,4671.21,4703.81,4631.10
01/29/2015,4683.41,--,4635.73,4688.41,4601.76
01/28/2015,4637.99,--,4740.69,4742.06,4637.48
01/27/2015,4681.50,--,4698.23,4721.87,4659.83
01/26/2015,4771.76,--,4752.36,4774.18,4734.20
01/23/2015,4757.88,--,4748.19,4771.18,4737.95
01/22/2015,4750.40,--,4690.93,4752.60,4644.57
01/21/2015,4667.42,--,4641.95,4692.46,4629.59
01/20/2015,4654.85,--,4655.84,4665.65,4601.10
01/19/2015,4634.38,--,0.00,0.00,0.00
01/16/2015,4634.38,--,4566.38,4635.82,4563.11
01/15/2015,4570.82,--,4657.46,4663.96,4567.39
01/14/2015,4639.32,--,4610.76,4655.37,4595.98
01/13/2015,4661.50,--,4708.74,4751.34,4624.28
01/12/2015,4664.71,--,4714.07,4715.81,4650.65
01/09/2015,4704.07,--,4744.47,4744.71,4681.24
01/08/2015,4736.19,--,4689.54,4741.38,4688.02
01/07/2015,4650.47,--,4626.84,4652.72,4613.90
01/06/2015,4592.74,--,4666.85,4667.33,4567.59
01/05/2015,4652.57,--,4700.34,4702.77,4641.46
01/02/2015,4726.81,--,4760.24,4777.01,4698.11
01/01/2015,4736.05,--,0.00,0.00,0.00
12/31/2014,4736.05,--,4790.53,4806.43,4734.11
12/30/2014,4777.44,--,4793.61,4803.89,4772.88
12/29/2014,4806.91,--,4801.26,4813.72,4798.90
12/26/2014,4806.86,--,4788.06,4814.95,4787.85
12/25/2014,4773.47,--,0.00,0.00,0.00
12/24/2014,4773.47,--,4770.12,4787.57,4768.67
12/23/2014,4765.42,--,4798.03,4798.06,4761.39
12/22/2014,4781.42,--,4759.04,4781.93,4757.80
12/19/2014,4765.38,--,4752.60,4782.13,4738.29
12/18/2014,4748.40,--,4712.39,4748.40,4697.09
12/17/2014,4644.31,--,4556.90,4651.90,4550.70
12/16/2014,4547.83,--,4572.79,4645.19,4547.31
12/15/2014,4605.16,--,4679.67,4690.58,4592.43
12/12/2014,4653.60,--,4665.35,4707.92,4653.60
12/11/2014,4708.16,--,4704.65,4759.88,4699.42
12/10/2014,4684.03,--,4754.42,4766.64,4679.24
12/09/2014,4766.47,--,4685.20,4768.41,4674.38
12/08/2014,4740.69,--,4769.76,4793.24,4722.91
12/05/2014,4780.76,--,4776.58,4788.98,4769.64
12/04/2014,4769.44,--,4772.00,4785.41,4753.71
12/03/2014,4774.47,--,4761.31,4781.37,4745.14
12/02/2014,4755.81,--,4732.97,4761.63,4729.76
12/01/2014,4727.35,--,4777.73,4782.07,4724.62
11/28/2014,4791.63,--,4797.10,4810.86,4786.72
11/27/2014,4787.32,--,0.00,0.00,0.00
11/26/2014,4787.32,--,4760.23,4788.00,4757.49
11/25/2014,4758.25,--,4762.39,4774.52,4749.92
11/24/2014,4754.89,--,4725.17,4755.02,4723.62
11/21/2014,4712.97,--,4751.01,4751.60,4700.73
11/20/2014,4701.87,--,4655.20,4702.97,4653.33
11/19/2014,4675.71,--,4694.78,4696.20,4655.72
11/18/2014,4702.44,--,4674.84,4709.83,4674.30
11/17/2014,4671.00,--,4678.43,4689.53,4655.19
11/14/2014,4688.54,--,4679.85,4688.74,4664.30
11/13/2014,4680.14,--,4681.56,4703.11,4664.27
11/12/2014,4675.13,--,4644.63,4678.58,4643.78
11/11/2014,4660.56,--,4649.19,4661.22,4640.24
11/10/2014,4651.62,--,4635.10,4653.38,4626.49
11/07/2014,4632.53,--,4636.89,4638.80,4606.81
11/06/2014,4638.47,--,4616.78,4639.17,4604.76
11/05/2014,4620.72,--,4649.47,4650.39,4607.73
11/04/2014,4623.64,--,4623.77,4635.95,4594.92
11/03/2014,4638.91,--,4633.71,4654.18,4627.42
10/31/2014,4630.74,--,4639.45,4641.51,4616.58
10/30/2014,4566.14,--,4532.10,4575.50,4521.79
10/29/2014,4549.23,--,4551.37,4564.44,4517.02
10/28/2014,4564.29,--,4505.73,4564.29,4505.11
10/27/2014,4485.93,--,4469.02,4489.60,4450.29
10/24/2014,4483.72,--,4459.46,4486.26,4445.85
10/23/2014,4452.79,--,4427.44,4475.55,4421.56
10/22/2014,4382.85,--,4429.16,4435.86,4381.28
10/21/2014,4419.48,--,4359.17,4419.48,4356.10
10/20/2014,4316.07,--,4254.16,4316.87,4248.22
10/17/2014,4258.44,--,4275.09,4296.11,4241.67
10/16/2014,4217.39,--,4133.25,4246.01,4131.65
10/15/2014,4215.32,--,4154.10,4231.54,4116.60
10/14/2014,4227.17,--,4246.23,4281.34,4212.82
10/13/2014,4213.66,--,4274.91,4303.82,4212.87
10/10/2014,4276.24,--,4354.63,4380.51,4276.24
10/09/2014,4378.34,--,4458.29,4464.13,4377.28
10/08/2014,4468.59,--,4385.70,4473.73,4355.34
10/07/2014,4385.20,--,4433.91,4441.76,4385.15
10/06/2014,4454.80,--,4492.39,4496.26,4444.10
10/03/2014,4475.62,--,4456.80,4488.07,4445.72
10/02/2014,4430.19,--,4421.25,4441.95,4367.74
10/01/2014,4422.09,--,4486.65,4486.79,4409.30
09/30/2014,4493.39,--,4512.64,4522.06,4483.91
09/29/2014,4505.85,--,4465.84,4515.24,4464.44
09/26/2014,4512.19,--,4476.47,4515.75,4475.48
09/25/2014,4466.75,--,4540.82,4546.93,4466.64
09/24/2014,4555.22,--,4514.92,4557.27,4500.13
09/23/2014,4508.69,--,4511.32,4536.03,4508.42
09/22/2014,4527.69,--,4568.45,4568.87,4513.12
09/19/2014,4579.79,--,4606.13,4610.57,4563.44
09/18/2014,4593.43,--,4575.74,4593.98,4572.62
09/17/2014,4562.19,--,4553.96,4582.40,4539.36
09/16/2014,4552.76,--,4502.11,4558.24,4499.87
09/15/2014,4518.90,--,4567.45,4567.47,4506.73
09/12/2014,4567.60,--,4588.77,4590.08,4555.68
09/11/2014,4591.81,--,4567.64,4591.81,4559.75
09/10/2014,4586.52,--,4554.15,4587.10,4544.84
09/09/2014,4552.29,--,4588.83,4599.03,4544.44
09/08/2014,4592.29,--,4579.06,4600.40,4570.23
09/05/2014,4582.90,--,4560.63,4583.00,4542.74
09/04/2014,4562.29,--,4581.52,4603.15,4553.31
09/03/2014,4572.57,--,4610.14,4610.14,4565.38
09/02/2014,4598.19,--,4592.42,4598.64,4576.80
